Metadata Collection, 	UUID
AOOS, 	{1706F520-2647-4A33-B7BF-592FAFDE4B45}
ATN_DAC,	{07875897-E6A6-4EDB-B111-F5D6BE841ED6}
CARICOOS,	{117F1684-A5E3-400E-98D8-A270BDBA1603}
CENCOOS, 	{4BA5624D-A61F-4C7E-BAEE-7F8BDDB8D9C4}
GCOOS, 	{003747E7-4818-43CD-937D-44D5B8E2F4E9}
Glider_DAC,	{2546E50F-F0C7-4365-9D45-694DD22E5F26}
GLOS, 	{B664427E-6953-4517-A874-78DDBBD3893E}
HFradar_DAC,	{A4A65346-6B65-4ED2-A2DC-5D529074EE6D}
MARACOOS, 	{C664F631-6E53-4108-B8DD-EFADF558E408}
MODELING_TESTBED, 	{1706F520-2647-4A33-B7BF-592FAFDE4B45}
NANOOS, 	{254CCFC0-E408-4E13-BD62-87567E7586BB}
NAVY, 	{3B94DAAE-B7E9-4789-993B-0045AD9149D9}
NDBC, 	{828981B0-0039-4360-9788-E788FA6B0875}
NERACOOS, 	{E41F4FCD-0297-415D-AC53-967B970C3A3E}
NOS/CO-OPS, 	{72E748DF-23B1-4E80-A2C4-81E70783094A}
Other,	{7EDF86E1-573C-4B3C-A979-AD499A11FD22}
PacIOOS, 	{68FF11D8-D66B-45EE-B33A-21919BB26421}
SCCOOS, 	{B70B3E3C-3851-4BA9-8E9B-C9F195DCEAC7}
SECOORA, 	{B3EA8869-B726-4E39-898A-299E53ABBC98}
USACE, 	{73019DFF-2E01-4800-91CD-0B3F812256A7}
USGS/CMGP, 	{C6F11F00-C2BD-4AC6-8E2C-013E16F4932E}
